"appid","pid","product_code","product_name_ro","pid_category","size_length","size_width","size_thickness","size_diameter","size_height","size_alloy","size_type","um1","um2","um1_to_um2","product_name_en","um_base","is_active","additional_info","cu_debitare","aliaj","densitate","size_roll_weight","product_name_bg"
"294166","1613","3600012000000300023G","BARA ALAMA D12X3000 MM CUZN39PB3 R430","{56}","3000",,,"12",,"CUZN39PB3 R430","","KG","M","0.956300","BRASS ROUND BARS D12X3000 MM CUZN39PB3 R430","KG","y","МЕСИНГОВИ КРЪГЛИ ПРЪТИ D12X3000 MM CUZN39PB3 R430","y","",,,"МЕСИНГОВИ КРЪГЛИ ПРЪТИ D12X3000 MM CUZN39PB3 R430"
"293092","539","125754015PF","","{0}",,,,,,,,"KG","BUC","1.000000","AL CUT PLATE 5754 H111 15 MM","KG","n","АЛ. РЯЗАНА ПЛОЧА 5754 H111 15 MM","n","",,,"АЛ. РЯЗАНА ПЛОЧА 5754 H111 15 MM"
"292979","426","12105002500102020201","TABLA ALUMINIU 1050 H111 25 MM","{27}",,,"25.00",,,"EN AW 1050 H111","","KG","БРОЙ","1.000000","AL CUT PLATE 1050 25 MM","KG","y","АЛ. ПЛОЧИ 1050 H111 25 MM","y","",,,"АЛ. ПЛОЧИ 1050 H111 25 MM"
"293094","541","125754020PF","","{0}",,,,,,,,"KG","BUC","1.000000","AL CUT PLATE 5754 H111  20 MM","KG","n","АЛ. РЯЗАНА ПЛОЧА 5754 H111 20 MM","n","",,,"АЛ. РЯЗАНА ПЛОЧА 5754 H111 20 MM"
"293310","757","12707510000152030200","TABLA  ALUMINIU 7075  T651 100 MM","{27}",,,"100.00",,,"EN AW 7075 T651","","KG","БРОЙ","1.000000","AL PLATES 7075 100X1520X3020 MM","KG","y","АЛ. ПЛОЧИ 7075 100 MM","y","7075",,,"АЛ. ПЛОЧИ 7075 100 MM"
"293096","543","125754030PF","","{0}",,,,,,,,"KG","БРОЙ","1.000000","AL CUT PLATE 5754 H111 30 MM","KG","n","АЛ. РЯЗАНА ПЛОЧА 5754 H111 30 MM","n","",,,"АЛ. РЯЗАНА ПЛОЧА 5754 H111 30 MM"
"295189","2636","48000160000003002040","BARA BRONZ D16X3000 MM CUSN7ZN4PB7-C-GC","{7}","3000",,,"16",,"CUSN7ZN4PB7-C-GC","","KG","ML","1.788500","BRONZE ROUND BARS D16X3000 MM CUSN7ZN4PB7-C","KG","y","БРОНЗОВИ КРЪГЛИ ПРЪТИ D16X3000 MM CUSN7ZN4PB7-C","y","",,,"БРОНЗОВИ КРЪГЛИ ПРЪТИ D16X3000 MM CUSN7ZN4PB7-C"
"293098","545","125754040PF","","{0}",,,,,,,,"KG","BUC","1.000000","AL CUT PLATE 5754 H111 40 MM","KG","n","АЛ. РЯЗАНА ПЛОЧА 5754 H111 40 MM","n","",,,"АЛ. РЯЗАНА ПЛОЧА 5754 H111 40 MM"
"294291","1738","36000500000003000240","BARA ALAMA D50X3000 MM CUZN39PB3 R360","{56}","3000",,,"50",,"CUZN39PB3 R360","","KG","M","16.602800","BRASS ROUND BARS D50X3000 MM CUZN39PB3 R360","KG","y","МЕСИНГОВИ КРЪГЛИ ПРЪТИ D50X3000 MM CUZN39PB3 R360","y","",,,"МЕСИНГОВИ КРЪГЛИ ПРЪТИ D50X3000 MM CUZN39PB3 R360"
"293282","729","12707504000152030200","TABLA  ALUMINIU 7075  T651 40 MM","{27}",,,"40.00",,,"EN AW 7075 T651","","KG","БРОЙ","1.000000","ALU PLATES 7075 T651 40X1520X3020 MM","KG","y","АЛ. ПЛОЧИ 7075 T651 40 MM","y","7075",,,"АЛ. ПЛОЧИ 7075 T651 40 MM"
"293101","548","126061008PF","","{0}",,,,,,,,"KG","BUC","1.000000","AL CUT PLATE 6061 T651 8 MM","KG","n","АЛ. РЯЗАНА ПЛОЧА 6061 T651 8 MM","n","",,,"АЛ. РЯЗАНА ПЛОЧА 6061 T651 8 MM"
"293561","1008","24080080040600061500","TEAVA PATRATA ALU 80x80x4x6000 MM 6060  T6","{33}","6000","80","4.00",,,"EN AW 6060 T6","","KG","ML","3.283200","ALU SQUARE TUBES 80X80X4X6000 MM 6060 T6","KG","y","АЛ. КВАДРАТНИ ТРЪБИ 80X80X4X6000 MM 6060 T6","n","",,,"АЛ. КВАДРАТНИ ТРЪБИ 80X80X4X6000 MM 6060 T6"
"293103","550","12606100950PF","","{0}",,,,,,,,"KG","BUC","1.000000","AL CUT PLATE 6061 T651 9.5 MM","KG","n","АЛ. РЯЗАНА ПЛОЧА 6061 T651 9.5 MM","n","",,,"АЛ. РЯЗАНА ПЛОЧА 6061 T651 9.5 MM"
"293578","1025","25010001506000061500","TEAVA ALU D 10X1.5X6000 MM 6060  T6","{34}","6000",,"1.50","10",,"EN AW 6060 T6","","KG","M","0.108100","ALU ROUND TUBES 10X1,5x6000 MM 6060 T6","KG","y","АЛ. КРЪГЛИ ТРЪБИ 10X1,5x6000 MM 6060 T6","n","",,,"АЛ. КРЪГЛИ ТРЪБИ 10X1,5x6000 MM 6060 T6"
"293105","552","12606101000PF","","{0}",,,,,,,,"KG","BUC","1.000000","AL CUT PLATE 6061 T651 10 MM","KG","n","АЛ. РЯЗАНА ПЛОЧА 6061 T651 10 MM","n","",,,"АЛ. РЯЗАНА ПЛОЧА 6061 T651 10 MM"
"294190","1637","36000150000003000240","BARA ALAMA D15X3000 MM CUZN39PB3 R430","{56}","3000",,,"15",,"CUZN39PB3 R430","","KG","ML","1.494200","BRASS ROUND BARS D15X3000 MM CUZN39PB3 R430","KG","y","МЕСИНГОВИ КРЪГЛИ ПРЪТИ D15X3000 MM CUZN39PB3 R430","y","",,,"МЕСИНГОВИ КРЪГЛИ ПРЪТИ D15X3000 MM CUZN39PB3 R430"
"295449","2896","12606105080152030200","TABLA  ALUMINIU 6061 T651 50.8 MM","{27}",,,"50.80",,,"EN AW 6061 T651","","KG","БРОЙ","1.000000","AL. PLATES 6061 T651 50,8X1520X3020 MM - AMS","KG","y","АЛ. ПЛОЧИ 6061 T651 50,8 MM","y","6061",,,"АЛ. ПЛОЧИ 6061 T651 50,8 MM"
"293108","555","12606101200PF","","{0}",,,,,,,,"KG","БРОЙ","1.000000","AL CUT PLATE 6061 T651 12 MM","KG","n","АЛ. РЯЗАНА ПЛОЧА 6061 T651 12 MM","n","",,,"АЛ. РЯЗАНА ПЛОЧА 6061 T651 12 MM"
"293109","556","12606101270PF","","{0}",,,,,,,,"KG","БРОЙ","1.000000","AL CUT PLATE 6061 T651 12.7 MM","KG","n","АЛ. РЯЗАНА ПЛОЧА 6061 T651 12.7 MM","n","",,,"АЛ. РЯЗАНА ПЛОЧА 6061 T651 12.7 MM"
"293060","507","1250830852F152030200","TABLA ALUMINIU 5083 H111  85 MM","{27}",,,"85.00",,,"EN AW 5083 H111","","KG","BUC","1.000000","ALU PLATES 5083 H111 85X1520X3020 MM","KG","y","АЛ. ПЛОЧИ 5083 H111 85 MM","y","5083",,,"АЛ. ПЛОЧИ 5083 H111 85 MM"
"293111","558","12606101500PF","","{0}",,,,,,,,"KG","BUC","1.000000","AL CUT PLATE 6061 T651 15 MM","KG","n","АЛ. РЯЗАНА ПЛОЧА 6061 T651 15 MM","n","",,,"АЛ. РЯЗАНА ПЛОЧА 6061 T651 15 MM"
"295268","2715","48000560000003002140","BARA BRONZ D56X3000 MM CUSN12","{7}","3000",,,"56",,"CUSN12","","KG","ML","21.909700","BRONZE ROUND BARS D56X3000 MM CUSN12-C-GC","KG","y","БРОНЗОВИ КРЪГЛИ ПРЪТИ D56X3000 MM CUSN12-C-GC","y","",,,"БРОНЗОВИ КРЪГЛИ ПРЪТИ D56X3000 MM CUSN12-C-GC"
"293222","669","1260820802F152030200","TABLA  ALUMINIU 6082 T651  80 MM","{27}",,,"80.00",,,"EN AW 6082 T651","","KG","BUC","1.000000","AL PLATES 6082 80X1520X3020 MM","KG","y","АЛ. ПЛОЧИ 6082 80 MM","y","6082",,,"АЛ. ПЛОЧИ 6082 80 MM"
"293116","563","12606101600PF","","{0}",,,,,,,,"KG","BUC","1.000000","AL CUT PLATE 6061 T651 16 MM","KG","n","АЛ. РЯЗАНА ПЛОЧА 6061 T651 16 MM","n","",,,"АЛ. РЯЗАНА ПЛОЧА 6061 T651 16 MM"
"293118","565","12606101800PF","","{0}",,,,,,,,"KG","BUC","1.000000","AL CUT PLATE 6061 T651 18 MM","KG","n","АЛ. РЯЗАНА ПЛОЧА 6061 T651 18 MM","n","",,,"АЛ. РЯЗАНА ПЛОЧА 6061 T651 18 MM"
"293119","566","12606101905PF","","{0}",,,,,,,,"KG","БРОЙ","1.000000","AL CUT PLATE 6061 T651 19.05 MM","KG","n","АЛ. РЯЗАНА ПЛОЧА 6061 T651 19.05 MM","n","",,,"АЛ. РЯЗАНА ПЛОЧА 6061 T651 19.05 MM"
"293122","569","12606102223PF","","{0}",,,,,,,,"KG","BUC","1.000000","AL CUT PLATE 6061 T651 22.23 MM","KG","n","АЛ. РЯЗАНА ПЛОЧА 6061 T651 22.23 MM","n","",,,"АЛ. РЯЗАНА ПЛОЧА 6061 T651 22.23 MM"
